ID,Town,County,Country
12207,East Learmouth,Northumberland,England
12208,East Leigh,Devon,England
12209,East Leigh,Devon,England
12210,East Lexham,Norfolk,England
12211,East Lilburn,Northumberland,England
12212,East Linton,East Lothian,Scotland
12213,East Liss,Hampshire,England
12214,East Lockinge,Oxfordshire,England
12215,East Loftus,North Yorkshire,England
12216,East Looe,Cornwall,England
12217,East Lound,Lincolnshire,England
12218,East Lulworth,Dorset,England
12219,East Lutton,North Yorkshire,England
12220,East Lydeard,Somerset,England
12221,East Lydford,Somerset,England
12222,East Lyng,Somerset,England
12223,East Mains,Angus,Scotland
12224,East Mains,Aberdeenshire,Scotland
12225,East Mains,South Lanarkshire,Scotland
12226,East Mains,Scottish Borders,Scotland
12227,East Mains of Burnside,Angus,Scotland
12228,East Malling,Kent,England
12229,East Malling Heath,Kent,England
12230,East March,Angus,Scotland
12231,East Marden,West Sussex,England
12232,East Markham,Nottinghamshire,England
12233,East Marsh,Lincolnshire,England
12234,East Martin,Hampshire,England
12235,East Marton,North Yorkshire,England
12236,East Melbury,Dorset,England
12237,East Meon,Hampshire,England
12238,East Mere,Devon,England
12239,East Mersea,Essex,England
12240,East Mey,Highland,Scotland
12241,East Molesey,Surrey,England
12242,East Moor,West Yorkshire,England
12243,East Moors,Cardiff,Wales
12244,East Morden,Dorset,England
12245,East Morton,West Yorkshire,England
12246,East Moulsecoomb,East Sussex,England
12247,East Ness,North Yorkshire,England
12248,East Nevay,Angus,Scotland
12249,East Newton,North Yorkshire,England
12250,East Newton,East Riding of Yorkshire,England
12251,East Norton,Leicestershire,England
12252,East Nynehead,Somerset,England
12253,East Oakley,Hampshire,England
12254,East Ogwell,Devon,England
12255,East Orchard,Dorset,England
12256,East Ord,Northumberland,England
12257,East Panson,Devon,England
12258,East Parley,Dorset,England
12259,East Peckham,Kent,England
12260,East Pennard,Somerset,England
12261,East Perry,Cambridgeshire,England
12262,East Portholland,Cornwall,England
12263,East Portlemouth,Devon,England
12264,East Prawle,Devon,England
12265,East Preston,Dumfries and Galloway,Scotland
12266,East Preston,West Sussex,England
12267,East Pulham,Dorset,England
12268,East Putford,Devon,England
12269,East Quantoxhead,Somerset,England
12270,East Rainton,Tyne and Wear,England
12271,East Ravendale,Lincolnshire,England
12272,East Raynham,Norfolk,England
12273,East Rigton,West Yorkshire,England
12274,East Rolstone,Somerset,England
12275,East Rounton,North Yorkshire,England
12276,East Rudham,Norfolk,England
12277,East Runton,Norfolk,England
12278,East Ruston,Norfolk,England
12279,East Saltoun,East Lothian,Scotland
12280,East Sheen,"Richmond upon Thames, Greater London",England
12281,East Skelston,Dumfries and Galloway,Scotland
12282,East Sleekburn,Northumberland,England
12283,East Somerton,Norfolk,England
12284,East Stanley,County Durham,England
12285,East Stockwith,Lincolnshire,England
12286,East Stoke,Nottinghamshire,England
12287,East Stoke,Somerset,England
12288,East Stoke,Dorset,England
12289,East Stour,Dorset,England
12290,East Stour Common,Dorset,England
12291,East Stourmouth,Kent,England
12292,East Stowford,Devon,England
12293,East Strathan,Highland,Scotland
12294,East Stratton,Hampshire,England
12295,East Street,Somerset,England
12296,East Street,Kent,England
12297,East Studdal,Kent,England
12298,East Suisnish,Highland,Scotland
12299,East Taphouse,Cornwall,England
12300,East Third,Scottish Borders,Scotland
12301,East Thirston,Northumberland,England
12302,East Tilbury,Essex,England
12303,East Tisted,Hampshire,England
12304,East Torrington,Lincolnshire,England
12305,East Town,Somerset,England
12306,East Town,Somerset,England
12307,East Town,Wiltshire,England
12308,East Trewent,Pembrokeshire,Wales
12309,East Tuddenham,Norfolk,England
12310,East Tuelmenna,Cornwall,England
12311,East Tytherley,Hampshire,England
12312,East Tytherton,Wiltshire,England
12313,East Village,Devon,England
12314,East Village,The Vale of Glamorgan,Wales
12315,East Wall,Shropshire,England
12316,East Walton,Norfolk,England
12317,East Water,Somerset,England
12318,East Week,Devon,England
12319,East Wellow,Hampshire,England
12320,East Wemyss,Fife,Scotland
12321,East Whitburn,West Lothian,Scotland
12322,East Whitefield,Perth and Kinross,Scotland
12323,East Wickham,"Bexley, Greater London",England
12324,East Williamston,Pembrokeshire,Wales
12325,East Winch,Norfolk,England
12326,East Winterslow,Wiltshire,England
12327,East Wittering,West Sussex,England
12328,East Witton,North Yorkshire,England
12329,East Woodburn,Northumberland,England
12330,East Woodhay,Hampshire,England
12331,East Woodlands,Somerset,England
12332,East Worldham,Hampshire,England
12333,East Worlington,Devon,England
12334,East Worthing,West Sussex,England
12335,East Wretham,Norfolk,England
12336,East Youlstone,Devon,England
12337,East-the-Water,Devon,England
12338,Eastacombe,Devon,England
12339,Eastacombe,Devon,England
12340,Eastacott,Devon,England
12341,Eastbourne,County Durham,England
12342,Eastbourne,East Sussex,England
12343,Eastbridge,Suffolk,England
12344,Eastbrook,The Vale of Glamorgan,Wales
12345,Eastbrook,Somerset,England
12346,Eastburn,East Riding of Yorkshire,England
12347,Eastburn Br,North Yorkshire,England
12348,Eastbury,Berkshire,England
12349,Eastbury,"Harrow, Greater London",England
12350,Eastby,North Yorkshire,England
12351,Eastchurch,Kent,England
12352,Eastcombe,Gloucestershire,England
12353,Eastcote,West Midlands,England
12354,Eastcote,Northamptonshire,England
12355,Eastcote,"Hillingdon, Greater London",England
12356,Eastcote Village,"Hillingdon, Greater London",England
12357,Eastcott,Cornwall,England
12358,Eastcott,Wiltshire,England
12359,Eastcotts,Bedfordshire,England
12360,Eastcourt,Wiltshire,England
12361,Eastcourt,Wiltshire,England
12362,Eastdon,Devon,England
12363,Eastdown,Devon,England
12364,Eastend,Oxfordshire,England
12365,Eastend,Essex,England
12366,Easter Aberchalder,Highland,Scotland
12367,Easter Ardross,Highland,Scotland
12368,Easter Balgedie,Perth and Kinross,Scotland
12369,Easter Balmoral,Aberdeenshire,Scotland
12370,Easter Binzean,Perth and Kinross,Scotland
12371,Easter Boleskine,Highland,Scotland
12372,Easter Compton,Gloucestershire,England
12373,Easter Essendy,Perth and Kinross,Scotland
12374,Easter Housebyres,Scottish Borders,Scotland
12375,Easter Howgate,Midlothian,Scotland
12376,Easter Kilwhiss,Fife,Scotland
12377,Easter Kinkell,Highland,Scotland
12378,Easter Kinsleith,Fife,Scotland
12379,Easter Knox,Angus,Scotland
12380,Easter Langlee,Scottish Borders,Scotland
12381,Easter Lednathie,Angus,Scotland
12382,Easter Meathie,Angus,Scotland
12383,Easter Quarff,Shetland Islands,Scotland
12384,Easter Skeld,Shetland Islands,Scotland
12385,Easter Softlaw,Scottish Borders,Scotland
12386,Eastergate,West Sussex,England
12387,Easterhouse,Glasgow City,Scotland
12388,Easterside,North Yorkshire,England
12389,Easterton,Wiltshire,England
12390,Easterton Sands,Wiltshire,England
12391,Eastertown,Somerset,England
12392,Eastfield,South Lanarkshire,Scotland
12393,Eastfield,North Lanarkshire,Scotland
12394,Eastfield,North Lanarkshire,Scotland
12395,Eastfield,Scottish Borders,Scotland
12396,Eastfield,Northumberland,England
12397,Eastfield,South Yorkshire,England
12398,Eastfield,Bristol,England
12399,Eastfield,North Yorkshire,England
12400,Eastfield,Cambridgeshire,England
12401,Eastfield Hall,Northumberland,England
12402,Eastgate,County Durham,England
12403,Eastgate,Norfolk,England
12404,Eastgate,Cambridgeshire,England
12405,Easthall,Hertfordshire,England
12406,Eastham,Merseyside,England
12407,Eastham,Worcestershire,England
12408,Eastham Ferry,Merseyside,England
12409,Easthampstead,Berkshire,England
12410,Easthampton,Herefordshire,England
12411,Easthaugh,Norfolk,England
12412,Eastheath,Berkshire,England
12413,Easthope,Shropshire,England
12414,Easthopewood,Shropshire,England
12415,Easthorpe,Nottinghamshire,England
12416,Easthorpe,Leicestershire,England
12417,Easthorpe,Essex,England
12418,Easthouses,Midlothian,Scotland
12419,Easting,Orkney Islands,Scotland
12420,Eastington,Gloucestershire,England
12421,Eastington,Gloucestershire,England
12422,Eastington,Devon,England
12423,Eastland Gate,Hampshire,England
12424,Eastleach Martin,Gloucestershire,England
12425,Eastleach Turville,Gloucestershire,England
12426,Eastleigh,Devon,England
12427,Eastleigh,Hampshire,England
12428,Eastling,Kent,England
12429,Eastney,Hampshire,England
12430,Eastnor,Herefordshire,England
12431,Eastoft,Lincolnshire,England
12432,Eastoke,Hampshire,England
12433,Easton,Cumbria,England
12434,Easton,Cumbria,England
12435,Easton,Lincolnshire,England
12436,Easton,Somerset,England
12437,Easton,Bristol,England
12438,Easton,Wiltshire,England
12439,Easton,Berkshire,England
12440,Easton,Hampshire,England
12441,Easton,Devon,England
12442,Easton,Devon,England
12443,Easton,Dorset,England
12444,Easton,Isle of Wight,England
12445,Easton,Norfolk,England
12446,Easton,Cambridgeshire,England
12447,Easton,Suffolk,England
12448,Easton Grey,Wiltshire,England
12449,Easton Maudit,Northamptonshire,England
12450,Easton on the Hill,Northamptonshire,England
12451,Easton Royal,Wiltshire,England
12452,Easton Town,Somerset,England
12453,Easton Town,Wiltshire,England
12454,Easton-in-Gordano,Somerset,England
12455,Eastover,Somerset,England
12456,Eastrea,Cambridgeshire,England
12457,Eastriggs,Dumfries and Galloway,Scotland
12458,Eastrington,East Riding of Yorkshire,England
12459,Eastrip,Wiltshire,England
12460,Eastrop,Hampshire,England
12461,Eastry,Kent,England
12462,Eastshore,Shetland Islands,Scotland
12463,Eastville,Bristol,England
12464,Eastville,Lincolnshire,England
12465,Eastwell,Leicestershire,England
12466,Eastwell Park,Kent,England
12467,Eastwick,Shetland Islands,Scotland
12468,Eastwick,Hertfordshire,England
12469,Eastwood,West Yorkshire,England
12470,Eastwood,South Yorkshire,England
12471,Eastwood,Nottinghamshire,England
12472,Eastwood,Herefordshire,England
12473,Eastwood,Essex,England
12474,Eastwood End,Cambridgeshire,England
12475,Eastwood Hall,Nottinghamshire,England
12476,Eathorpe,Warwickshire,England
12477,Eaton,Cheshire,England
12478,Eaton,Cheshire,England
12479,Eaton,Nottinghamshire,England
12480,Eaton,Leicestershire,England
12481,Eaton,Shropshire,England
12482,Eaton,Herefordshire,England
12483,Eaton,Shropshire,England
12484,Eaton,Oxfordshire,England
12485,Eaton,Norfolk,England
12486,Eaton Bishop,Herefordshire,England
12487,Eaton Bray,Bedfordshire,England
12488,Eaton Constantine,Shropshire,England
12489,Eaton Ford,Cambridgeshire,England
12490,Eaton Hall,Cheshire,England
12491,Eaton Hastings,Oxfordshire,England
12492,Eaton Mascott,Shropshire,England
12493,Eaton Socon,Cambridgeshire,England
12494,Eaton upon Tern,Shropshire,England
12495,Eau Brink,Norfolk,England
12496,Eau Withington,Herefordshire,England
12497,Eaves Green,West Midlands,England
12498,"Eaves, The",Gloucestershire,England
12499,Eavestone,North Yorkshire,England
12500,Ebberly Hill,Devon,England
12501,Ebberston,North Yorkshire,England
12502,Ebbesbourne Wake,Wiltshire,England
12503,Ebblake,Dorset,England
12504,Ebbw Vale/Glyn Ebwy,Blaenau Gwent,Wales
12505,Ebchester,County Durham,England
12506,Ebdon,Somerset,England
12507,Ebernoe,West Sussex,England
12508,Ebford,Devon,England
12509,Ebley,Gloucestershire,England
12510,Ebnal,Cheshire,England
12511,Ebnall,Herefordshire,England
12512,Ebreywood,Shropshire,England
12513,Ebrington,Gloucestershire,England
12514,Ecchinswell,Hampshire,England
12515,Eccle Riggs,Cumbria,England
12516,Ecclefechan,Dumfries and Galloway,Scotland
12517,Eccles,Scottish Borders,Scotland
12518,Eccles,Greater Manchester,England
12519,Eccles,Kent,England
12520,Eccles on Sea,Norfolk,England
12521,Eccles Road,Norfolk,England
12522,Ecclesall,South Yorkshire,England
12523,Ecclesfield,South Yorkshire,England
12524,Eccleshall,Staffordshire,England
12525,Eccleshill,West Yorkshire,England
12526,Ecclesmachan,West Lothian,Scotland
12527,Eccleston,Lancashire,England
12528,Eccleston,Cheshire,England
12529,Eccleston,Merseyside,England
12530,Eccleston Park,Merseyside,England
12531,Ecclesville,Omagh,Northern Ireland
12532,Eccliffe,Dorset,England
12533,Eccup,West Yorkshire,England
12534,Echt,Aberdeenshire,Scotland
12535,Eckford,Scottish Borders,Scotland
12536,Eckfordmoss,Scottish Borders,Scotland
12537,Eckington,Derbyshire,England
12538,Eckington,Worcestershire,England
12539,Eckington Corner,East Sussex,England
12540,Ecklands,South Yorkshire,England
12541,Eckworthy,Devon,England
12542,Ecton,Staffordshire,England
12543,Ecton,Northamptonshire,England
12544,Ecton Brook,Northamptonshire,England
12545,Edale,Derbyshire,England
12546,Edale End,Derbyshire,England
12547,Edbrook,Somerset,England
12548,Edburton,West Sussex,England
12549,Edderside,Cumbria,England
12550,Edderton,Highland,Scotland
12551,Eddington,Berkshire,England
12552,Eddington,Kent,England
12553,Eddleston,Scottish Borders,Scotland
12554,Eddlewood,South Lanarkshire,Scotland
12555,Eden,Carrickfergus,Northern Ireland
12556,Eden Mount,Cumbria,England
12557,Eden Park,"Bromley, Greater London",England
12558,Eden Vale,County Durham,England
12559,Eden Vale,Wiltshire,England
12560,Edenbridge,Kent,England
12561,Edenfield,Lancashire,England
12562,Edenhall,Cumbria,England
12563,Edenham,Lincolnshire,England
12564,Edensor,Derbyshire,England
12565,Edenthorpe,South Yorkshire,England
12566,Edentown,Cumbria,England
12567,Edern,Gwynedd,Wales
12568,Ederny,Fermanagh,Northern Ireland
12569,Edford,Somerset,England
12570,Edgarley,Somerset,England
12571,Edgbaston,West Midlands,England
12572,Edgcote,Northamptonshire,England
12573,Edgcott,Buckinghamshire,England
12574,Edgcott,Somerset,England
12575,Edgcumbe,Cornwall,England
12576,Edge,Shropshire,England
12577,Edge,Gloucestershire,England
12578,Edge End,Lancashire,England
12579,Edge End,Gloucestershire,England
12580,Edge Fold,Greater Manchester,England
12581,Edge Fold,Lancashire,England
12582,Edge Green,Cheshire,England
12583,Edge Green,Greater Manchester,England
12584,Edge Green,Norfolk,England
12585,Edge Hill,Merseyside,England
12586,Edge Hill,Warwickshire,England
12587,Edge Mount,South Yorkshire,England
12588,Edgebolton,Shropshire,England
12589,Edgefield,Norfolk,England
12590,Edgefield Street,Norfolk,England
12591,Edgehill,Warwickshire,England
12592,Edgeley,Greater Manchester,England
12593,Edgerley,Shropshire,England
12594,Edgerston,Scottish Borders,Scotland
12595,Edgerton,West Yorkshire,England
12596,Edgeside,Lancashire,England
12597,Edgeworth,Gloucestershire,England
12598,Edginswell,Devon,England
12599,Edgiock,Worcestershire,England
12600,Edgmond,Shropshire,England
12601,Edgmond Marsh,Shropshire,England
12602,Edgton,Shropshire,England
12603,Edgware,"Barnet, Greater London",England
12604,Edgwick,West Midlands,England
12605,Edgworth,Lancashire,England
12606,Edham,Scottish Borders,Scotland
12607,Edial,Staffordshire,England
12608,Edinample,Stirling,Scotland
12609,Edinbane / An t-Aodann Ban,Highland,Scotland
12610,Edinburgh,City of Edinburgh,Scotland
12611,Edingale,Staffordshire,England
12612,Edingley,Nottinghamshire,England
12613,Edingthorpe,Norfolk,England
12614,Edingthorpe Green,Norfolk,England
12615,Edington,Somerset,England
12616,Edington,Wiltshire,England
12617,Edingworth,Somerset,England
12618,Edistone,Devon,England
12619,Edith Weston,Rutland,England
12620,Edithmead,Somerset,England
12621,Edlaston,Derbyshire,England
12622,Edlesborough,Buckinghamshire,England
12623,Edlingham,Northumberland,England
12624,Edlington,Lincolnshire,England
12625,Edmondbyers,County Durham,England
12626,Edmondsham,Dorset,England
12627,Edmondsley,County Durham,England
12628,Edmondstown,Rhondda Cynon Taf,Wales
12629,Edmondthorpe,Leicestershire,England
12630,Edmonston,South Lanarkshire,Scotland
12631,Edmonton,Cornwall,England
12632,Edmonton,"Enfield, Greater London",England
12633,Ednaston,Derbyshire,England
12634,Edney Common,Essex,England
12635,Edradynate,Perth and Kinross,Scotland
12636,Edrom,Scottish Borders,Scotland
12637,Edstaston,Shropshire,England
12638,Edstone,Warwickshire,England
12639,Edvin Loach,Herefordshire,England
12640,Edwalton,Nottinghamshire,England
12641,Edwardstone,Suffolk,England
12642,Edwardsville,Merthyr Tydfil,Wales
12643,Edwinstowe,Nottinghamshire,England
12644,Edworth,Bedfordshire,England
12645,Edwyn Ralph,Herefordshire,England
12646,Edymore,Strabane,Northern Ireland
12647,Edzell,Angus,Scotland
12648,Edzell Woods,Aberdeenshire,Scotland
12649,Efail Isaf,Rhondda Cynon Taf,Wales
12650,Efail-fâch,Neath Port Talbot,Wales
12651,Efailnewydd,Gwynedd,Wales
12652,Efailwen,Carmarthenshire,Wales
12653,Efenechtyd,Denbighshire,Wales
12654,Effingham,Surrey,England
12655,Effirth,Shetland Islands,Scotland
12656,Effledge,Scottish Borders,Scotland
12657,Efflinch,Staffordshire,England
12658,Efford,Devon,England
12659,Egbury,Hampshire,England
12660,Egdon,Worcestershire,England
12661,Egerton,Greater Manchester,England
12662,Egerton,Kent,England
12663,Egerton Forstal,Kent,England
12664,Egerton Green,Cheshire,England
12665,Egford,Somerset,England
12666,Eggbeare,Cornwall,England
12667,Eggborough,North Yorkshire,England
12668,Eggbuckland,Devon,England
12669,Eggesford Station,Devon,England
12670,Eggington,Bedfordshire,England
12671,Egginton,Derbyshire,England
12672,Egginton Common,Derbyshire,England
12673,Egglesburn,County Durham,England
12674,Egglescliffe,County Durham,England
12675,Eggleston,County Durham,England
12676,Egham,Surrey,England
12677,Egham Hythe,Surrey,England
12678,Egham Wick,Surrey,England
12679,Egleton,Rutland,England
12680,Eglingham,Northumberland,England
12681,Eglinton,Derry,Northern Ireland
12682,Eglish,Dungannon,Northern Ireland
12683,Egloshayle,Cornwall,England
12684,Egloskerry,Cornwall,England
12685,Eglwys Cross,Wrexham,Wales
12686,Eglwys Fach,Ceredigion,Wales
12687,Eglwys-Brewis,The Vale of Glamorgan,Wales
12688,Eglwysbach,Conwy,Wales
12689,Eglwyswen,Pembrokeshire,Wales
12690,Eglwyswrw,Pembrokeshire,Wales
12691,Egmanton,Nottinghamshire,England
12692,Egmere,Norfolk,England
12693,Egremont,Cumbria,England
12694,Egremont,Merseyside,England
12695,Egton,North Yorkshire,England
12696,Egton Bridge,North Yorkshire,England
12697,Egypt,West Yorkshire,England
12698,Egypt,Berkshire,England
12699,Egypt,Hampshire,England
12700,Egypt,Buckinghamshire,England
12701,Eight Ash Green,Essex,England
12702,Eighton Banks,Tyne and Wear,England
12703,Eign Hill,Herefordshire,England
12704,Eilanreach,Highland,Scotland
12705,Eildon,Scottish Borders,Scotland
12706,Eilean Duirinnis,Argyll and Bute,Scotland
12707,Eisgein,Na h-Eileanan an Iar,Scotland
12708,Eisingrug,Gwynedd,Wales
12709,Elan Village,Powys,Wales
12710,Eland Green,Northumberland,England
12711,Elberton,Gloucestershire,England
12712,Elborough,Somerset,England
12713,Elbridge,Shropshire,England
12714,Elbridge,West Sussex,England
12715,Elburton,Devon,England
12716,Elcock's Brook,Worcestershire,England
12717,Elcombe,Gloucestershire,England
12718,Elcombe,Wiltshire,England
12719,Elcot,Berkshire,England
12720,Eldene,Wiltshire,England
12721,Elder Street,Essex,England
12722,Eldernell,Cambridgeshire,England
12723,Eldersfield,Worcestershire,England
12724,Elderslie,Renfrewshire,Scotland
12725,Eldon,County Durham,England
12726,Eldon Lane,County Durham,England
12727,Eldroth,North Yorkshire,England
12728,Eldwick,West Yorkshire,England
12729,Elemore Vale,Tyne and Wear,England
12730,Elerch/Bont-goch,Ceredigion,Wales
12731,Elford,Staffordshire,England
12732,Elford Closes,Cambridgeshire,England
12733,Elgin,Moray,Scotland
12734,Elgol,Highland,Scotland
12735,Elham,Kent,England
12736,Eliburn,West Lothian,Scotland
12737,Elim,Isle of Anglesey,Wales
12738,Eling,Hampshire,England
12739,Eling,Berkshire,England
12740,Elkesley,Nottinghamshire,England
12741,Elkington,Northamptonshire,England
12742,Elkins Green,Essex,England
12743,Elkstone,Gloucestershire,England
12744,Ellacombe,Devon,England
12745,Ellan,Highland,Scotland
12746,Elland,West Yorkshire,England
12747,Elland Lower Edge,West Yorkshire,England
12748,Elland Upper Edge,West Yorkshire,England
12749,Ellary,Argyll and Bute,Scotland
12750,Ellastone,Staffordshire,England
12751,Ellel,Lancashire,England
12752,Ellen's Green,Surrey,England
12753,Ellenabeich,Argyll and Bute,Scotland
12754,Ellenborough,Cumbria,England
12755,Ellenbrook,Hertfordshire,England
12756,Ellenglaze,Cornwall,England
12757,Ellenhall,Staffordshire,England
12758,Ellerbeck,North Yorkshire,England
12759,Ellerburn,North Yorkshire,England
12760,Ellerby,North Yorkshire,England
12761,Ellerdine,Shropshire,England
12762,Ellerdine Heath,Shropshire,England
12763,Ellerhayes,Devon,England
12764,Ellerker,East Riding of Yorkshire,England
12765,Ellerton,North Yorkshire,England
12766,Ellerton,East Riding of Yorkshire,England
12767,Ellerton,Shropshire,England
12768,Ellesborough,Buckinghamshire,England
12769,Ellesmere,Shropshire,England
12770,Ellesmere Park,Greater Manchester,England
12771,Ellesmere Port,Cheshire,England
12772,Ellicombe,Somerset,England
12773,Ellingham,Northumberland,England
12774,Ellingham,Hampshire,England
12775,Ellingham,Norfolk,England
12776,Ellingstring,North Yorkshire,England
12777,Ellington,Northumberland,England
12778,Ellington,Cambridgeshire,England
12779,Ellington Thorpe,Cambridgeshire,England
12780,Elliot,Angus,Scotland
12781,Elliot's Town,Caerphilly,Wales
12782,Elliots Green,Somerset,England
12783,Ellisfield,Hampshire,England
12784,Ellishadder,Highland,Scotland
12785,Elliston,Scottish Borders,Scotland
12786,Ellistown,Leicestershire,England
12787,Ellon,Aberdeenshire,Scotland
12788,Ellonby,Cumbria,England
12789,Ellough,Suffolk,England
12790,Elloughton,East Riding of Yorkshire,England
12791,Ellwood,Gloucestershire,England
12792,Elm,Cambridgeshire,England
12793,Elm Corner,Surrey,England
12794,Elm Cross,Wiltshire,England
12795,Elm Hill,Dorset,England
12796,Elm Park,"Havering, Greater London",England
12797,Elmbridge,Gloucestershire,England
12798,Elmbridge,Worcestershire,England
12799,Elmdon,West Midlands,England
12800,Elmdon,Essex,England
12801,Elmdon Heath,West Midlands,England
12802,Elmer,West Sussex,England
12803,Elmers End,"Bromley, Greater London",England
12804,Elmers Green,Lancashire,England
12805,Elmers Marsh,West Sussex,England
12806,Elmesthorpe,Leicestershire,England
12807,Elmfield,Isle of Wight,England
12808,Elmhurst,Staffordshire,England
12809,Elmhurst,Buckinghamshire,England
12810,Elmley Castle,Worcestershire,England
12811,Elmley Lovett,Worcestershire,England
12812,Elmore,Gloucestershire,England
12813,Elmore Back,Gloucestershire,England
12814,Elms Green,Herefordshire,England
12815,Elms Green,Worcestershire,England
12816,Elmscott,Devon,England
12817,Elmsett,Suffolk,England
12818,Elmslack,Lancashire,England
12819,Elmstead,Essex,England
12820,Elmstead,"Bromley, Greater London",England
12821,Elmstead Heath,Essex,England
12822,Elmstead Market,Essex,England
12823,Elmsted,Kent,England
12824,Elmstone,Kent,England
12825,Elmstone Hardwicke,Gloucestershire,England
12826,Elmswell,East Riding of Yorkshire,England
12827,Elmswell,Suffolk,England
12828,Elmton,Derbyshire,England
12829,Elphin,Highland,Scotland
12830,Elphinstone,East Lothian,Scotland
12831,Elrick,Aberdeenshire,Scotland
12832,Elrig,Dumfries and Galloway,Scotland
12833,Elrington,Northumberland,England
12834,Elsdon,Northumberland,England
12835,Elsdon,Herefordshire,England
12836,Elsecar,South Yorkshire,England
12837,Elsenham,Essex,England
12838,Elsenham Sta,Essex,England
12839,Elsfield,Oxfordshire,England
12840,Elsham,Lincolnshire,England
12841,Elsing,Norfolk,England
12842,Elslack,North Yorkshire,England
12843,Elson,Shropshire,England
12844,Elson,Hampshire,England
12845,Elsrickle,South Lanarkshire,Scotland
12846,Elstead,Surrey,England
12847,Elsted,West Sussex,England
12848,Elstob,County Durham,England
12849,Elston,Nottinghamshire,England
12850,Elston,Devon,England
12851,Elston,Wiltshire,England
12852,Elstone,Devon,England
12853,Elstow,Bedfordshire,England
12854,Elstree,Hertfordshire,England
12855,Elstronwick,East Riding of Yorkshire,England
12856,Elswick,Tyne and Wear,England
12857,Elswick,Lancashire,England
12858,Elswick Leys,Lancashire,England
12859,Elsworth,Cambridgeshire,England
12860,Elterwater,Cumbria,England
12861,Eltham,"Greenwich, Greater London",England
12862,Eltisley,Cambridgeshire,England
12863,Elton,County Durham,England
12864,Elton,Greater Manchester,England
12865,Elton,Cheshire,England
12866,Elton,Derbyshire,England
12867,Elton,Herefordshire,England
12868,Elton,Gloucestershire,England
12869,Elton,Cambridgeshire,England
12870,Elton Green,Cheshire,England
12871,Elton on the Hill,Nottinghamshire,England
12872,Elton's Marsh,Herefordshire,England
12873,Eltringham,Northumberland,England
12874,Elvanfoot,South Lanarkshire,Scotland
12875,Elvaston,Derbyshire,England
12876,Elveden,Suffolk,England
12877,Elvet Hill,County Durham,England
12878,Elvingston,East Lothian,Scotland
12879,Elvington,North Yorkshire,England
12880,Elvington,Kent,England
12881,Elvington,Kent,England
12882,Elwell,Devon,England
12883,Elwell,Dorset,England
12884,Elwick,Northumberland,England
12885,Elwick,County Durham,England
12886,Elworth,Cheshire,England
12887,Elworthy,Somerset,England
12888,Ely,Cardiff,Wales
12889,Ely,Cambridgeshire,England
12890,Emberton,Buckinghamshire,England
12891,Embleton,Northumberland,England
12892,Embleton,Cumbria,England
12893,Embleton,County Durham,England
12894,Embo,Highland,Scotland
12895,Embo Street,Highland,Scotland
12896,Emborough,Somerset,England
12897,Embsay,North Yorkshire,England
12898,Emerson Park,"Havering, Greater London",England
12899,Emerson Valley,Buckinghamshire,England
12900,Emerson's Green,Gloucestershire,England
12901,Emery Down,Hampshire,England
12902,Emley,West Yorkshire,England
12903,Emmaus Village Carlton,Bedfordshire,England
12904,Emmbrook,Berkshire,England
12905,Emmer Green,Berkshire,England
12906,Emmett Carr,Derbyshire,England
12907,Emmington,Oxfordshire,England
12908,Emneth,Norfolk,England
12909,Emneth Hungate,Norfolk,England
12910,Emorsgate,Norfolk,England
12911,Empingham,Rutland,England
12912,Empshott,Hampshire,England
12913,Empshott Green,Hampshire,England
12914,Emscote,Warwickshire,England
12915,Emstrey,Shropshire,England
12916,Emsworth,Hampshire,England
12917,Enborne,Berkshire,England
12918,Enborne Row,Berkshire,England
12919,Enchmarsh,Shropshire,England
12920,Enderby,Leicestershire,England
12921,Endmoor,Cumbria,England
12922,Endon,Staffordshire,England
12923,Endon Bank,Staffordshire,England
12924,Energlyn,Caerphilly,Wales
12925,Enfield,Worcestershire,England
12926,Enfield,"Enfield, Greater London",England
12927,Enfield Highway,"Enfield, Greater London",England
12928,Enfield Lock,"Enfield, Greater London",England
12929,Enfield Town,"Enfield, Greater London",England
12930,Enfield Wash,"Enfield, Greater London",England
12931,Enford,Wiltshire,England
12932,Engamoor,Shetland Islands,Scotland
12933,Engedi,Isle of Anglesey,Wales
12934,Engine Common,Gloucestershire,England
12935,Englefield,Berkshire,England
12936,Englefield Green,Surrey,England
12937,Englesea-brook,Cheshire,England
12938,English Bicknor,Gloucestershire,England
12939,English Frankton,Shropshire,England
12940,Englishcombe,Somerset,England
12941,Engollan,Cornwall,England
12942,Enham Alamein,Hampshire,England
12943,Enis,Devon,England
12944,Enmore,Somerset,England
12945,Enmore Field,Herefordshire,England
12946,Enmore Green,Dorset,England
12947,Ennerdale Bridge,Cumbria,England
12948,Enniscaven,Cornwall,England
12949,Enniskillen,Fermanagh,Northern Ireland
12950,Enoch,Dumfries and Galloway,Scotland
12951,Enochdhu,Perth and Kinross,Scotland
12952,Ensbury,Dorset,England
12953,Ensbury Park,Dorset,England
12954,Ensdon,Shropshire,England
12955,Ensis,Devon,England
12956,Enslow,Oxfordshire,England
12957,Enstone,Oxfordshire,England
12958,Enterkinfoot,Dumfries and Galloway,Scotland
12959,Enterpen,North Yorkshire,England
12960,Enton Green,Surrey,England
12961,Enville,Staffordshire,England
